country,event_type,strategy,n_trades,cumulative_gross_return,cumulative_net_return,average_event_gross_return,average_event_net_return,hit_rate_net,volatility_event_net,sharpe_event_net,sharpe_annualized_net,max_drawdown_net,average_holding_days,turnover,transaction_cost_bps
USA,deletion,announce_d-5_to_d+0,176,-0.9872452316295008,-0.9911338316305043,-0.018484115198392166,-0.020484115198392168,0.36363636363636365,0.10601472173422452,-0.19321953463920966,-1.159317207835258,-0.9905378080503798,7.0,352.0,10.0
Korea,deletion,announce_d-3_to_d+0,78,-0.5140790937057923,-0.5850606755239125,-0.007466540172883656,-0.009466540172883658,0.5,0.0568785986362267,-0.16643413163935264,-1.2844967100124935,-0.6721895985318398,4.230769230769231,156.0,10.0
USA,deletion,announce_d+0_to_d+3,176,-0.8195134737206521,-0.8736413104255436,-0.0078039871980808894,-0.009803987198080892,0.5170454545454546,0.05912993158225573,-0.1658041356676111,-1.3867792485632002,-0.9264854643609749,3.602272727272727,352.0,10.0
Korea,deletion,announce_d-5_to_d+0,78,-0.8259361309288422,-0.8517351871927491,-0.01845009921182072,-0.020450099211820717,0.41025641025641024,0.0796925558762181,-0.25661241488583564,-1.5776968687614934,-0.8915883126735976,6.666666666666667,156.0,10.0
Korea,inclusion,effective_d+0_to_d+3,53,-0.6879531675232906,-0.7201464603685472,-0.017738029704172265,-0.019738029704172266,0.3584905660377358,0.09253450100033218,-0.21330454577262387,-1.628998089252442,-0.7182640887613962,4.320754716981132,106.0,10.0
India,inclusion,effective_d-5_to_d-1,112,-0.6476879916922498,-0.7190962379334082,-0.00848657531435226,-0.010486575314352261,0.36607142857142855,0.03961745196052152,-0.2646958548672451,-1.76469461075519,-0.7836339026618205,5.669642857142857,224.0,10.0
USA,inclusion,announce_d-3_to_d+0,170,-0.9249753174652328,-0.9469302183550175,-0.013382372527422732,-0.015382372527422734,0.4117647058823529,0.05771766074145095,-0.26651067160065295,-2.041634071307418,-0.9610650829949141,4.294117647058823,340.0,10.0
USA,inclusion,effective_d+0_to_d+3,170,-0.9377091963429318,-0.9559633772207892,-0.014078847012147865,-0.016078847012147863,0.4411764705882353,0.0614854749459895,-0.2615064293846954,-2.0710794054427675,-0.9651822122997886,4.017647058823529,340.0,10.0
USA,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,106,-0.8353008273401616,-0.8673875276544287,-0.013696606468112391,-0.015696606468112394,0.5283018867924528,0.07356602878395511,-0.21336759272692796,-2.2055233299804025,-0.9288565004120007,2.358490566037736,212.0,10.0
USA,deletion,announce_d-1_to_d+1,176,-0.9831659280802323,-0.9882842909694973,-0.01879363131760711,-0.02079363131760711,0.5056818181818182,0.08351042526142793,-0.248994436952189,-2.583435603268493,-0.996499375723993,2.340909090909091,352.0,10.0
Korea,deletion,effective_d+0_to_d+3,78,-0.7360375195494668,-0.774857199745268,-0.015599549505838466,-0.01759954950583847,0.41025641025641024,0.05073217116840366,-0.34691102510510313,-2.6223246220077434,-0.7965692649503617,4.410256410256411,156.0,10.0
